0,3,24,30,-140,4,9,14000,0
1,3,19,90,60,3,8,10000,2
2,3,15,90,120,0,0,0,1
3,3,19,150,30,0,1,15000,2
4,4,9,30,-120,0,18,0,1
5,3,20,30,60,0,10,11000,3
6,4,11,0,0,0,18,0,1
7,1,24,60,0,0,10,8500,1
8,3,24,30,0,0,4,0,1
9,3,14,0,0,8,0,6000,2
10,1,23,70,10,0,0,0,1
11,3,24,180,150,0,0,0,2
12,2,21,30,30,0,3,0,1
13,3,25,60,-15,0,3,6000,1
14,4,19,150,210,12,2,6300,3
15,2,19,210,150,0,2,0,1
16,2,18,180,90,5,18,0,1
17,1,25,45,-60,0,0,0,1
18,3,17,120,105,4.5,3,5000,1
19,4,23,75,-30,0,0,0,2
20,2,20,-60,-115,3,3,0,1
21,3,3,120,0,0,0,0,1
22,3,25,30,-30,0,0,0,1
23,1,20,150,120,0,3,0,1
24,3,23,0,0,0,0,5000,1
25,3,23,120,20,4,4,0,2
26,2,25,90,-30,0,0,0,1
27,2,16,-15,-60,0,0,0,2
28,1,20,60,30,0,8,0,1
29,2,24,10,-60,2,0,0,2
30,4,10,10,40,0,5,3000,2
31,4,26,0,-30,4,0,0,1
32,1,24,0,-60,0,0,0,1
33,4,14,60,-15,0,0,8000,2
34,3,18,60,150,3,6,7000,1
35,4,16,0,60,0,0,2000,2
36,3,19,180,0,0,0,0,1
37,3,16,60,90,3,6,4000,1
38,2,21,30,-90,0,0,0,1
39,3,19,60,60,0,3,0,3
40,3,17,120,0,0,0,0,2
41,3,19,90,30,7.5,0,0,2
42,1,24,60,-60,0,2,0,2
43,2,19,105,60,3,15,0,1
44,3,23,60,0,0,5,0,1
45,3,17,90,240,10,9,0,2
46,2,24,210,-30,0,0,0,2
47,1,23,90,-60,0,0,0,1
48,3,17,120,60,5,15,4000,2
49,3,22,30,0,0,4,1000,1
50,2,24,150,-30,0,0,0,1
51,2,17,30,60,0,5,0,1
52,2,21,60,20,10,0,11000,1
53,4,14,120,-90,0,0,0,2
54,3,21,60,30,5,0,0,2
55,3,17,60,60,4,0,0,2
56,2,19,0,0,0,5,0,1
57,4,19,120,60,0,1,0,1
58,1,20,120,60,0,0,0,1
59,3,19,160,40,0,4,7000,1
60,1,20,120,20,0,6,0,1
61,2,23,180,50,0,6,6000,1
62,4,15,120,60,0,0,0,1
63,2,21,30,90,0,0,6000,1
64,2,18,30,25,0,7,0,1
65,3,25,90,0,0,3,1800,1
66,3,23,120,30,0,13,0,1
67,4,21,150,180,0,3,0,1
68,2,22,240,210,0,0,10000,3
69,1,36,30,90,30,6,32000,2
70,1,23,240,120,0,4,0,1
71,4,12,60,120,0,3,0,2
72,2,20,30,-90,0,0,1000,1
73,2,21,30,30,0,0,4000,1
74,1,21,0,-120,0,5,0,1
75,3,21,70,50,0,15,0,2
76,3,21,60,30,0,5,0,2
77,4,19,-60,-105,0,3,0,1
78,2,18,120,0,0,5,0,2
79,3,20,210,60,0,5,6000,2
80,3,23,30,-30,0,4,4000,1
81,2,26,120,0,0,0,7000,1
82,3,21,90,0,2.5,4,0,2
83,2,19,210,10,0,0,0,1
